Index,Category,Project ID,Project Name,State,County,Electrical Area (CREZ),Latitude,Longitude,LCR Area,Technology,Subtechnology,Type,Contract Start Date,Contract End Date,Eligible for Recontr?,Product Content Category,CAISO,Bundled,Deliverability Type,PG&E,SCE,SDG&E,Other CAISO,NonCAISO,Contract Capacity,Annual Energy,Capacity Factor,Technology Index,ELCC Profile,Energy Value Profile,Losses,Degradation,Risk Adjustment,Unit Cost
1311,3,SC76107,Terra-Gen 251 Wind LLC  (Monolith XII),CA,Kern,Tehachapi,35.0875,-118.35,0,Wind,,Existing,7/9/2017,7/8/2042,1,1,1,1,1,0,0,0,1,0,6.72,10.15000001,0.172421994,18,Wind - Inland,Wind - Inland,0,0,1,74.67601156
1312,3,SC76108,Terra-Gen 251 Wind LLC  (Monolith XIII),CA,Kern,Tehachapi,35.0875,-118.35,0,Wind,,Existing,6/30/2017,6/29/2042,1,1,1,1,1,0,0,0,1,0,5.67,7.660000017,0.154220322,18,Wind - Inland,Wind - Inland,0,0,1,74.67601156
1313,3,SD1008,Otay Landfill 3,CA,San Diego,San Diego South,32.5999,-117.018,0,Biogas,Distributed,Existing,3/8/2017,3/7/2037,1,1,1,1,1,0,0,0,1,0,3.8,21.99999999,0.660898822,1,Baseload,Baseload,0,0,1,81.56391109
1314,3,SD4000,SDCWA - Rancho Penasquitos Hydro,CA,San Diego,San Diego North Central,32.9362,-117.113,0,Hydro,Small,Existing,1/23/2017,1/22/2037,1,1,1,1,1,0,0,0,1,0,4.5,20.00000001,0.507356672,5,Baseload,Baseload,0,0,1,73.33887134
1315,3,SD4005,Badger Filtration Plant,CA,San Diego,San Diego North Central,33.052,-117.17,0,Hydro,Small,Existing,7/1/2017,6/30/2037,1,1,1,1,1,0,0,0,1,0,1.49,1.000000006,0.076614263,5,Baseload,Baseload,0,0,1,274.0786604
1316,3,CAISO_LSE_Contract_086,EBMUD WWTP Power Generation Station [E0036],CA,0,n/a,n/a,n/a,0,Biomass,Large,Existing,11/1/2017,10/31/2037,1,1,1,1,1,0,0,0,1,0,6.45,24.45299997,0.43278114,3,Baseload,Baseload,0,0,1,152.6407177
1317,3,CAISO_LSE_Contract_087,EBMUD WWTP Digester Gas Turbine [E0242],CA,0,n/a,n/a,n/a,0,Biomass,Large,Existing,11/1/2017,10/31/2037,1,1,0,1,1,0,0,0,1,0,4.6,25.84433335,0.641362253,3,Baseload,Baseload,0,0,1,119.1174509
1318,3,NonCAISO_LSE_Contract_116,SPI Burlington [W1491],WA,0,n/a,n/a,n/a,0,Biomass,Large,Existing,8/1/2017,7/31/2037,1,1,0,1,1,0,0,0,0,1,14.9996,117.404,0.893509367,3,Baseload,Baseload,0,0,1,0
1319,4,BV_CA_155,CA Wind 217,CA,Imperial,Riverside East,33.4188,-114.9881,0,Wind,,New,1/1/2017,12/31/2041,1,1,1,1,1,0,0,0,1,0,23.6248856,71.69983341,0.346453,18,Wind - Inland,Wind - Inland,0.011355491,0,0.84,58.11864156
1320,4,BV_CA_156,CA Wind 219,CA,Imperial,Imperial East,32.887,-114.7154,0,Wind,,New,1/1/2017,12/31/2041,1,1,1,1,1,0,0,0,1,0,106.0720318,305.8534382,0.329161,18,Wind - Inland,Wind - Inland,0.01341001,0,0.84,60.25757596
